Product ID,Product Name,Division,Active_Months,Avg_Monthly_Margin,Margin_Volatility_SD,Min_Monthly_Margin,Max_Monthly_Margin,Margin_Range_pp,Volatility_Category
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Chocolate,12,66.66666666666667,0.0,66.66666666666666,66.66666666666667,1.4210854715202004e-14,Low Volatility
CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,12,64.92307692307692,0.0,64.92307692307692,64.92307692307693,1.4210854715202004e-14,Low Volatility
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,12,71.34670487106017,0.0,71.34670487106017,71.34670487106017,0.0,Low Volatility
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,12,69.44444444444444,0.0,69.44444444444444,69.44444444444446,1.4210854715202004e-14,Low Volatility
CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,12,65.33333333333333,0.0,65.33333333333333,65.33333333333333,0.0,Low Volatility
OTH-FIZ-56000,Fizzy Lifting Drinks,Sugar,5,60.0,0.0,60.0,60.0,0.0,Low Volatility
OTH-GUM-21000,Wonka Gum,Other,12,52.0,0.0,51.99999999999999,52.000000000000014,2.1316282072803006e-14,Low Volatility
OTH-KAZ-38000,Kazookles,Other,12,7.6923076923076925,0.0,7.6923076923076925,7.6923076923076925,0.0,Low Volatility
OTH-LIC-15000,Lickable Wallpaper,Other,12,50.0,0.0,50.0,50.0,0.0,Low Volatility
SUG-EVE-47000,Everlasting Gobstopper,Sugar,3,80.0,0.0,80.0,80.0,0.0,Low Volatility
SUG-FUN-75000,Fun Dip,Sugar,2,40.0,0.0,40.0,40.0,0.0,Low Volatility
SUG-HAI-55000,Hair Toffee,Sugar,3,77.77777777777779,0.0,77.77777777777779,77.77777777777779,0.0,Low Volatility
SUG-LAF-25000,Laffy Taffy,Sugar,6,62.311557788944725,0.0,62.311557788944725,62.311557788944725,0.0,Low Volatility
SUG-NER-92000,Nerds,Sugar,3,46.666666666666664,0.0,46.666666666666664,46.666666666666664,0.0,Low Volatility
SUG-SWE-91000,SweeTARTS,Sugar,7,46.666666666666664,0.0,46.666666666666664,46.666666666666664,0.0,Low Volatility
