Product ID,Product Name,Division,Total_Sales,Revenue_Contribution(%),Cumulative_Revenue(%),Revenue_Rank
CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,28485.0,20.090471657412067,20.090471657412067,1
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,27874.8,19.660097572618216,39.75056923003028,2
CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,26867.75,18.949825166699423,58.700394396729706,3
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Chocolate,24890.4,17.555200131355075,76.25559452808479,4
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,23574.95,16.627413192905273,92.88300772099007,5
OTH-LIC-15000,Lickable Wallpaper,Other,7860.0,5.543658319370155,98.42666604036022,6
OTH-KAZ-38000,Kazookles,Other,1205.75,0.8504155239924381,99.27708156435266,7
OTH-GUM-21000,Wonka Gum,Other,597.5,0.4214167742778202,99.69849833863047,8
SUG-EVE-47000,Everlasting Gobstopper,Sugar,130.0,0.09168900528220357,99.79018734391268,9
OTH-FIZ-56000,Fizzy Lifting Drinks,Sugar,78.75,0.0555423781997964,99.84572972211248,10
SUG-HAI-55000,Hair Toffee,Sugar,76.5,0.05395545310837364,99.89968517522085,11
SUG-SWE-91000,SweeTARTS,Sugar,61.5,0.04337595249888861,99.94306112771974,12
SUG-LAF-25000,Laffy Taffy,Sugar,53.73,0.037895771183175365,99.98095689890292,13
SUG-NER-92000,Nerds,Sugar,15.0,0.010579500609485027,99.9915363995124,14
SUG-FUN-75000,Fun Dip,Sugar,12.0,0.008463600487588022,99.99999999999999,15
