Product ID,Product Name,Division,Total_Gross_Profit,Profit_Contribution(%),Cumulative_Profit(%),Profit_Rank
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Chocolate,19357.5,20.715881801487114,20.715881801487114,1
CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Chocolate,18610.2,19.916141211521918,40.63202301300903,2
CHO-MIL-31000,Wonka Bar - Milk Chocolate,Chocolate,17443.37,18.66743077048205,59.29945378349108,3
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Chocolate,16819.95,18.000263262659082,77.29971704615016,4
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Chocolate,16593.6,17.75802951110198,95.05774655725214,5
OTH-LIC-15000,Lickable Wallpaper,Other,3930.0,4.205781504835044,99.26352806208719,6
OTH-GUM-21000,Wonka Gum,Other,310.7,0.33250287876647533,99.59603094085367,7
SUG-EVE-47000,Everlasting Gobstopper,Sugar,104.0,0.11129803473354824,99.70732897558722,8
OTH-KAZ-38000,Kazookles,Other,92.75,0.09925858386092884,99.80658755944815,9
SUG-HAI-55000,Hair Toffee,Sugar,59.5,0.06367531794852038,99.87026287739667,10
OTH-FIZ-56000,Fizzy Lifting Drinks,Sugar,47.25,0.050565693665001486,99.92082857106168,11
SUG-LAF-25000,Laffy Taffy,Sugar,33.48,0.035829405796915334,99.9566579768586,12
SUG-SWE-91000,SweeTARTS,Sugar,28.7,0.030713976892815714,99.9873719537514,13
SUG-NER-92000,Nerds,Sugar,7.0,0.007491213876296516,99.9948631676277,14
SUG-FUN-75000,Fun Dip,Sugar,4.8,0.005136832372317611,100.00000000000001,15
